,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#PositionAccountID,#Symbol,#CurrencyCode,#BalanceType,#BalanceSubType,#Balance,#Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_SP0_1,VerifySecurityBalance,VerifySecurityPositions,TRUE,,2000,,@{S_D_1.Securities_Account_ID},@{Static.Instr},,Pending Deposit,null,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_SP1_2,VerifySecurityBalance,VerifySecurityPositions,TRUE,,2000,,@{S_D_1.Securities_Account_ID},@{Static.Instr},,Free,null,@{S_D_1.Transaction_Quantity},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#Depo Transfer Type,#Source_Security_Account_ID,#Participant ID,#Source Sec Balance Type,#Source Reference,#Destination_Security_Acc_ID,#Receiving Participant,#Desti Sec Balance Type,#Dest Reference,#Instrument_ID,#Transaction Quantity,#Transfer Reference,#Remark,#Entering User ID,#Depo Trans Status,#Pledge Request Source,#Pledge Request Initiator Type,#Request Initiator Side,#Batch ID,#Intended Transfer Date,,,,,,,,,,,,,,,,,,
S_TN_1,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_2,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_3,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_4,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_5,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_6,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_7,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_8,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
S_TN_9,SubmitSecurityTransfer,SubmitSecurityTransferDB,TRUE,,10,,SGS Allocation Transfer,@{S_D_1.Securities_Account_ID},,0,,555000017720,,0,,@{instrumentId(Static.Instr)},1,,AAA,WEB,1,0,2,0,3456,"@{format(time(0),'yyyy/MM/dd')}",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#DepoTransferType,#Source_Security_Account_ID,#ParticipantID,#SourceSecBalanceType,#SourceReference,#Destination_Security_Acc_ID,#ReceivingParticipant,#DestiSecBalanceType,#DestReference,#Instrument_ID,#TransactionQuantity,#TransferReference,#Remark,#EnteringUserID,#DepoTransStatus,#PledgeRequestSource,#PledgeRequestInitiatorType,#RequestInitiatorSide,#ObjectID,#Batch ID,#ExternalRequestID,#DepoTransferSubStatus,#SourceBalanceSubType,#DestiBalanceSubType,#RequestedParticipantID,#CheckerAuthUserID,#CheckerAuthDate,#CounterpartyAuthUserID,#CounterpartyAuthDate,#AdminAuthUserID,#AdminAuthDate,#ParentReference,#CreatedUserID,#SourceAuthUserID,#SourceAuthDate,#ReasonCode,#Reason,#ChangedQuantity
V_TN_1,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_1.Source_Security_Account_ID},,0,,@{S_TN_1.Destination_Security_Acc_ID},,0,,@{S_TN_1.Instrument_ID},1,@{S_TN_1.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_1.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_2,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_2.Source_Security_Account_ID},,0,,@{S_TN_2.Destination_Security_Acc_ID},,0,,@{S_TN_2.Instrument_ID},1,@{S_TN_2.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_2.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_3,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_3.Source_Security_Account_ID},,0,,@{S_TN_3.Destination_Security_Acc_ID},,0,,@{S_TN_3.Instrument_ID},1,@{S_TN_3.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_3.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_4,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_4.Source_Security_Account_ID},,0,,@{S_TN_4.Destination_Security_Acc_ID},,0,,@{S_TN_4.Instrument_ID},1,@{S_TN_4.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_4.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_5,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_5.Source_Security_Account_ID},,0,,@{S_TN_5.Destination_Security_Acc_ID},,0,,@{S_TN_5.Instrument_ID},1,@{S_TN_5.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_5.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_6,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_6.Source_Security_Account_ID},,0,,@{S_TN_6.Destination_Security_Acc_ID},,0,,@{S_TN_6.Instrument_ID},1,@{S_TN_6.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_6.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_7,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_7.Source_Security_Account_ID},,0,,@{S_TN_7.Destination_Security_Acc_ID},,0,,@{S_TN_7.Instrument_ID},1,@{S_TN_7.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_7.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_8,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_8.Source_Security_Account_ID},,0,,@{S_TN_8.Destination_Security_Acc_ID},,0,,@{S_TN_8.Instrument_ID},1,@{S_TN_8.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_8.External_Request_ID},,,,,,,,,,,,,,,,,
V_TN_9,VerifySecurityTransfer,VerifySecurityTransfer,TRUE,,2000,,SGS Allocation Transfer,@{S_TN_9.Source_Security_Account_ID},,0,,@{S_TN_9.Destination_Security_Acc_ID},,0,,@{S_TN_9.Instrument_ID},1,@{S_TN_9.Transfer_Reference},AAA,WEB,10,0,2,0,,3456,@{S_TN_9.External_Request_ID},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#ScriptDirectory,#ScriptName,#Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_SGS,SGSProcessing,ExecuteScript,TRUE,,0,,./,SGSProcessing.sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#ScheduleId,#Enabled,#Time,#DependencyProfile,#State,#StartTime,#CompletedTime,#ModifiedBy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_T1,VerifySGSProcessing,VerifyTimeScheduleInfo,TRUE,,150000,,SGSProcessing,TRUE,,,COMPLETED,,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id,#GlobalStep,#Action,#Execute,#TestCase,#timeout,#Comment,#BalanceType,#Balance,#Instrument_ID,#Symbol,#PositionAccountID,#Latest,#CreditDebitIndicator,#Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2_SP_1,VerifyAddFreeBalance,VerifySecurityPositions,TRUE,,3000,,0,9,@{instrumentId(Static.Instr)},@{Static.Instr},555000017720,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
